=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
| rollout/                |            |
|    ep_len_mean          | 866        |
|    ep_rew_mean          | 4.97       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 197        |
|    time_elapsed         | 1038       |
|    total_timesteps      | 1613824    |
| train/                  |            |
|    approx_kl            | 0.03166085 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.481     |
|    explained_variance   | 0.17       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0194    |
|    n_updates            | 1960       |
|    policy_gradient_loss | -0.0239    |
|    value_loss           | 0.0127     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 872        |
|    ep_rew_mean          | 4.97       |
| time/                   |            |
|    fps                  | 1554       |
|    iterations           | 198        |
|    time_elapsed         | 1043       |
|    total_timesteps      | 1622016    |
| train/                  |            |
|    approx_kl            | 0.03180974 |
|    clip_fraction        | 0.192      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.481     |
|    explained_variance   | 0.22       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0239    |
|    n_updates            | 1970       |
|    policy_gradient_loss | -0.0244    |
|    value_loss           | 0.0106     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 848         |
|    ep_rew_mean          | 4.88        |
| time/                   |             |
|    fps                  | 1555        |
|    iterations           | 199         |
|    time_elapsed         | 1047        |
|    total_timesteps      | 1630208     |
| train/                  |             |
|    approx_kl            | 0.028935533 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.468      |
|    explained_variance   | 0.234       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0218     |
|    n_updates            | 1980        |
|    policy_gradient_loss | -0.0245     |
|    value_loss           | 0.0116      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 872        |
|    ep_rew_mean          | 5.04       |
| time/                   |            |
|    fps                  | 1556       |
|    iterations           | 200        |
|    time_elapsed         | 1052       |
|    total_timesteps      | 1638400    |
| train/                  |            |
|    approx_kl            | 0.03301248 |
|    clip_fraction        | 0.192      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.471     |
|    explained_variance   | 0.184      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0423    |
|    n_updates            | 1990       |
|    policy_gradient_loss | -0.0245    |
|    value_loss           | 0.0158     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 881         |
|    ep_rew_mean          | 5.09        |
| time/                   |             |
|    fps                  | 1557        |
|    iterations           | 201         |
|    time_elapsed         | 1056        |
|    total_timesteps      | 1646592     |
| train/                  |             |
|    approx_kl            | 0.031136017 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.47       |
|    explained_variance   | 0.206       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0452     |
|    n_updates            | 2000        |
|    policy_gradient_loss | -0.0249     |
|    value_loss           | 0.0126      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.031936076 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.471      |
|    explained_variance   | 0.205       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.028      |
|    n_updates            | 2010        |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.0124      |
| train_eval/             |             |
|    mean_cum_return      | 3.39        |
|    mean_mdd             | -0.505      |
|    mean_sharpe          | 0.112       |
|    mean_win_rate        | 0.393       |
|    std_cum_return       | 8.64        |
|    std_mdd              | 0.0707      |
|    std_sharpe           | 0.652       |
|    std_win_rate         | 0.0335      |
| val/                    |             |
|    mean_cum_return      | 0.167       |
|    mean_mdd             | -0.316      |
|    mean_sharpe          | 0.252       |
|    mean_win_rate        | 0.413       |
|    std_cum_return       | 0.568       |
|    std_mdd              | 0.0994      |
|    std_sharpe           | 1.65        |
|    std_win_rate         | 0.0632      |
-----------------------------------------
  [eval] step=1,650,000  val cum_ret=+16.66%  MDD=-31.55%  sharpe=0.252  win_rate=41.3%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 852      |
|    ep_rew_mean     | 4.86     |
| time/              |          |
|    fps             | 1551     |
|    iterations      | 202      |
|    time_elapsed    | 1066     |
|    total_timesteps | 1654784  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 836        |
|    ep_rew_mean          | 4.8        |
| time/                   |            |
|    fps                  | 1552       |
|    iterations           | 203        |
|    time_elapsed         | 1070       |
|    total_timesteps      | 1662976    |
| train/                  |            |
|    approx_kl            | 0.03235922 |
|    clip_fraction        | 0.187      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.465     |
|    explained_variance   | 0.127      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0336    |
|    n_updates            | 2020       |
|    policy_gradient_loss | -0.024     |
|    value_loss           | 0.0139     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 813        |
|    ep_rew_mean          | 4.61       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 204        |
|    time_elapsed         | 1075       |
|    total_timesteps      | 1671168    |
| train/                  |            |
|    approx_kl            | 0.02940141 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.464     |
|    explained_variance   | 0.183      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0365    |
|    n_updates            | 2030       |
|    policy_gradient_loss | -0.0243    |
|    value_loss           | 0.0151     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 800         |
|    ep_rew_mean          | 4.57        |
| time/                   |             |
|    fps                  | 1554        |
|    iterations           | 205         |
|    time_elapsed         | 1080        |
|    total_timesteps      | 1679360     |
| train/                  |             |
|    approx_kl            | 0.033143234 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.47       |
|    explained_variance   | 0.217       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0251     |
|    n_updates            | 2040        |
|    policy_gradient_loss | -0.0257     |
|    value_loss           | 0.0124      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 815        |
|    ep_rew_mean          | 4.75       |
| time/                   |            |
|    fps                  | 1555       |
|    iterations           | 206        |
|    time_elapsed         | 1084       |
|    total_timesteps      | 1687552    |
| train/                  |            |
|    approx_kl            | 0.03169145 |
|    clip_fraction        | 0.18       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.465     |
|    explained_variance   | 0.196      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00562    |
|    n_updates            | 2050       |
|    policy_gradient_loss | -0.0254    |
|    value_loss           | 0.015      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 764         |
|    ep_rew_mean          | 4.47        |
| time/                   |             |
|    fps                  | 1556        |
|    iterations           | 207         |
|    time_elapsed         | 1089        |
|    total_timesteps      | 1695744     |
| train/                  |             |
|    approx_kl            | 0.030078718 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.46       |
|    explained_variance   | 0.163       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0308     |
|    n_updates            | 2060        |
|    policy_gradient_loss | -0.0242     |
|    value_loss           | 0.0149      |
-----------------------------------------
---------------------------------------
| train/                  |           |
|    approx_kl            | 0.0302961 |
|    clip_fraction        | 0.183     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.473    |
|    explained_variance   | 0.19      |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0403   |
|    n_updates            | 2070      |
|    policy_gradient_loss | -0.0272   |
|    value_loss           | 0.0143    |
| train_eval/             |           |
|    mean_cum_return      | 2.16      |
|    mean_mdd             | -0.505    |
|    mean_sharpe          | -0.0225   |
|    mean_win_rate        | 0.381     |
|    std_cum_return       | 5.91      |
|    std_mdd              | 0.0887    |
|    std_sharpe           | 0.634     |
|    std_win_rate         | 0.0335    |
| val/                    |           |
|    mean_cum_return      | 0.14      |
|    mean_mdd             | -0.307    |
|    mean_sharpe          | 0.233     |
|    mean_win_rate        | 0.412     |
|    std_cum_return       | 0.495     |
|    std_mdd              | 0.0913    |
|    std_sharpe           | 1.53      |
|    std_win_rate         | 0.0574    |
---------------------------------------
  [eval] step=1,700,000  val cum_ret=+13.95%  MDD=-30.66%  sharpe=0.233  win_rate=41.2%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 755      |
|    ep_rew_mean     | 4.43     |
| time/              |          |
|    fps             | 1551     |
|    iterations      | 208      |
|    time_elapsed    | 1098     |
|    total_timesteps | 1703936  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 793        |
|    ep_rew_mean          | 4.64       |
| time/                   |            |
|    fps                  | 1552       |
|    iterations           | 209        |
|    time_elapsed         | 1102       |
|    total_timesteps      | 1712128    |
| train/                  |            |
|    approx_kl            | 0.03144033 |
|    clip_fraction        | 0.19       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.479     |
|    explained_variance   | 0.159      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.048     |
|    n_updates            | 2080       |
|    policy_gradient_loss | -0.0227    |
|    value_loss           | 0.0161     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 781         |
|    ep_rew_mean          | 4.52        |
| time/                   |             |
|    fps                  | 1553        |
|    iterations           | 210         |
|    time_elapsed         | 1107        |
|    total_timesteps      | 1720320     |
| train/                  |             |
|    approx_kl            | 0.028610665 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.449      |
|    explained_variance   | 0.179       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0407     |
|    n_updates            | 2090        |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.0114      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 777        |
|    ep_rew_mean          | 4.48       |
| time/                   |            |
|    fps                  | 1554       |
|    iterations           | 211        |
|    time_elapsed         | 1112       |
|    total_timesteps      | 1728512    |
| train/                  |            |
|    approx_kl            | 0.03032203 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.459     |
|    explained_variance   | 0.197      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.04      |
|    n_updates            | 2100       |
|    policy_gradient_loss | -0.0236    |
|    value_loss           | 0.0151     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 777         |
|    ep_rew_mean          | 4.46        |
| time/                   |             |
|    fps                  | 1555        |
|    iterations           | 212         |
|    time_elapsed         | 1116        |
|    total_timesteps      | 1736704     |
| train/                  |             |
|    approx_kl            | 0.033011027 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.48       |
|    explained_variance   | 0.15        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0223     |
|    n_updates            | 2110        |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.0173      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 790        |
|    ep_rew_mean          | 4.63       |
| time/                   |            |
|    fps                  | 1556       |
|    iterations           | 213        |
|    time_elapsed         | 1121       |
|    total_timesteps      | 1744896    |
| train/                  |            |
|    approx_kl            | 0.03143452 |
|    clip_fraction        | 0.191      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.466     |
|    explained_variance   | 0.181      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0392    |
|    n_updates            | 2120       |
|    policy_gradient_loss | -0.0229    |
|    value_loss           | 0.0169     |
----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.033612993 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.47       |
|    explained_variance   | 0.163       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0419     |
|    n_updates            | 2130        |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.0157      |
| train_eval/             |             |
|    mean_cum_return      | 1.39        |
|    mean_mdd             | -0.499      |
|    mean_sharpe          | -0.0281     |
|    mean_win_rate        | 0.379       |
|    std_cum_return       | 3.31        |
|    std_mdd              | 0.1         |
|    std_sharpe           | 0.69        |
|    std_win_rate         | 0.0332      |
| val/                    |             |
|    mean_cum_return      | 0.105       |
|    mean_mdd             | -0.315      |
|    mean_sharpe          | 0.00947     |
|    mean_win_rate        | 0.399       |
|    std_cum_return       | 0.44        |
|    std_mdd              | 0.09        |
|    std_sharpe           | 1.72        |
|    std_win_rate         | 0.0643      |
-----------------------------------------
  [eval] step=1,750,000  val cum_ret=+10.54%  MDD=-31.48%  sharpe=0.009  win_rate=39.9%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 809      |
|    ep_rew_mean     | 4.81     |
| time/              |          |
|    fps             | 1550     |
|    iterations      | 214      |
|    time_elapsed    | 1130     |
|    total_timesteps | 1753088  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 759         |
|    ep_rew_mean          | 4.47        |
| time/                   |             |
|    fps                  | 1551        |
|    iterations           | 215         |
|    time_elapsed         | 1135        |
|    total_timesteps      | 1761280     |
| train/                  |             |
|    approx_kl            | 0.032425124 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.469      |
|    explained_variance   | 0.148       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0124     |
|    n_updates            | 2140        |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 0.0173      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 781         |
|    ep_rew_mean          | 4.6         |
| time/                   |             |
|    fps                  | 1552        |
|    iterations           | 216         |
|    time_elapsed         | 1139        |
|    total_timesteps      | 1769472     |
| train/                  |             |
|    approx_kl            | 0.034804918 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.467      |
|    explained_variance   | 0.172       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0343     |
|    n_updates            | 2150        |
|    policy_gradient_loss | -0.0258     |
|    value_loss           | 0.0157      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 829        |
|    ep_rew_mean          | 4.91       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 217        |
|    time_elapsed         | 1144       |
|    total_timesteps      | 1777664    |
| train/                  |            |
|    approx_kl            | 0.03347095 |
|    clip_fraction        | 0.192      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.477     |
|    explained_variance   | 0.165      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0291    |
|    n_updates            | 2160       |
|    policy_gradient_loss | -0.0238    |
|    value_loss           | 0.0137     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 859         |
|    ep_rew_mean          | 5.06        |
| time/                   |             |
|    fps                  | 1554        |
|    iterations           | 218         |
|    time_elapsed         | 1149        |
|    total_timesteps      | 1785856     |
| train/                  |             |
|    approx_kl            | 0.035265397 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.464      |
|    explained_variance   | 0.203       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0274     |
|    n_updates            | 2170        |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 0.0129      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 865         |
|    ep_rew_mean          | 5.11        |
| time/                   |             |
|    fps                  | 1555        |
|    iterations           | 219         |
|    time_elapsed         | 1153        |
|    total_timesteps      | 1794048     |
| train/                  |             |
|    approx_kl            | 0.033944577 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.488      |
|    explained_variance   | 0.313       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 2180        |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.0104      |
-----------------------------------------
----------------------------------------
| train/                  |            |
|    approx_kl            | 0.03766175 |
|    clip_fraction        | 0.197      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.473     |
|    explained_variance   | 0.24       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0525    |
|    n_updates            | 2190       |
|    policy_gradient_loss | -0.025     |
|    value_loss           | 0.0117     |
| train_eval/             |            |
|    mean_cum_return      | 1.52       |
|    mean_mdd             | -0.5       |
|    mean_sharpe          | -0.323     |
|    mean_win_rate        | 0.358      |
|    std_cum_return       | 3.91       |
|    std_mdd              | 0.0897     |
|    std_sharpe           | 1.08       |
|    std_win_rate         | 0.0497     |
| val/                    |            |
|    mean_cum_return      | 0.0909     |
|    mean_mdd             | -0.306     |
|    mean_sharpe          | -0.461     |
|    mean_win_rate        | 0.376      |
|    std_cum_return       | 0.527      |
|    std_mdd              | 0.0787     |
|    std_sharpe           | 2.29       |
|    std_win_rate         | 0.0881     |
----------------------------------------
  [eval] step=1,800,000  val cum_ret=+9.09%  MDD=-30.57%  sharpe=-0.461  win_rate=37.6%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 827      |
|    ep_rew_mean     | 4.87     |
| time/              |          |
|    fps             | 1549     |
|    iterations      | 220      |
|    time_elapsed    | 1162     |
|    total_timesteps | 1802240  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 850        |
|    ep_rew_mean          | 4.93       |
| time/                   |            |
|    fps                  | 1550       |
|    iterations           | 221        |
|    time_elapsed         | 1167       |
|    total_timesteps      | 1810432    |
| train/                  |            |
|    approx_kl            | 0.03686227 |
|    clip_fraction        | 0.196      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.473     |
|    explained_variance   | 0.177      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0354    |
|    n_updates            | 2200       |
|    policy_gradient_loss | -0.0244    |
|    value_loss           | 0.0146     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 859        |
|    ep_rew_mean          | 5.08       |
| time/                   |            |
|    fps                  | 1551       |
|    iterations           | 222        |
|    time_elapsed         | 1172       |
|    total_timesteps      | 1818624    |
| train/                  |            |
|    approx_kl            | 0.03288164 |
|    clip_fraction        | 0.19       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.481     |
|    explained_variance   | 0.205      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0442    |
|    n_updates            | 2210       |
|    policy_gradient_loss | -0.0249    |
|    value_loss           | 0.0134     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 840         |
|    ep_rew_mean          | 4.95        |
| time/                   |             |
|    fps                  | 1552        |
|    iterations           | 223         |
|    time_elapsed         | 1176        |
|    total_timesteps      | 1826816     |
| train/                  |             |
|    approx_kl            | 0.034695923 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.468      |
|    explained_variance   | 0.122       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0394     |
|    n_updates            | 2220        |
|    policy_gradient_loss | -0.0245     |
|    value_loss           | 0.0183      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 828        |
|    ep_rew_mean          | 4.81       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 224        |
|    time_elapsed         | 1181       |
|    total_timesteps      | 1835008    |
| train/                  |            |
|    approx_kl            | 0.03444804 |
|    clip_fraction        | 0.182      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.46      |
|    explained_variance   | 0.153      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0321    |
|    n_updates            | 2230       |
|    policy_gradient_loss | -0.0248    |
|    value_loss           | 0.0148     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 861         |
|    ep_rew_mean          | 5.05        |
| time/                   |             |
|    fps                  | 1554        |
|    iterations           | 225         |
|    time_elapsed         | 1185        |
|    total_timesteps      | 1843200     |
| train/                  |             |
|    approx_kl            | 0.035214446 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.475      |
|    explained_variance   | 0.162       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 2240        |
|    policy_gradient_loss | -0.024      |
|    value_loss           | 0.0161      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.033783697 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.447      |
|    explained_variance   | 0.231       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.018      |
|    n_updates            | 2250        |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 0.0142      |
| train_eval/             |             |
|    mean_cum_return      | 2.15        |
|    mean_mdd             | -0.494      |
|    mean_sharpe          | -0.0398     |
|    mean_win_rate        | 0.373       |
|    std_cum_return       | 5.46        |
|    std_mdd              | 0.057       |
|    std_sharpe           | 0.705       |
|    std_win_rate         | 0.0359      |
| val/                    |             |
|    mean_cum_return      | 0.0559      |
|    mean_mdd             | -0.324      |
|    mean_sharpe          | -0.68       |
|    mean_win_rate        | 0.375       |
|    std_cum_return       | 0.48        |
|    std_mdd              | 0.0941      |
|    std_sharpe           | 2.42        |
|    std_win_rate         | 0.0859      |
-----------------------------------------
  [eval] step=1,850,000  val cum_ret=+5.59%  MDD=-32.40%  sharpe=-0.680  win_rate=37.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 842      |
|    ep_rew_mean     | 4.89     |
| time/              |          |
|    fps             | 1549     |
|    iterations      | 226      |
|    time_elapsed    | 1194     |
|    total_timesteps | 1851392  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 792         |
|    ep_rew_mean          | 4.6         |
| time/                   |             |
|    fps                  | 1550        |
|    iterations           | 227         |
|    time_elapsed         | 1199        |
|    total_timesteps      | 1859584     |
| train/                  |             |
|    approx_kl            | 0.029681027 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.458      |
|    explained_variance   | 0.207       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0452     |
|    n_updates            | 2260        |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0141      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 774         |
|    ep_rew_mean          | 4.45        |
| time/                   |             |
|    fps                  | 1551        |
|    iterations           | 228         |
|    time_elapsed         | 1204        |
|    total_timesteps      | 1867776     |
| train/                  |             |
|    approx_kl            | 0.031393588 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.458      |
|    explained_variance   | 0.159       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.043      |
|    n_updates            | 2270        |
|    policy_gradient_loss | -0.0226     |
|    value_loss           | 0.014       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 761        |
|    ep_rew_mean          | 4.36       |
| time/                   |            |
|    fps                  | 1552       |
|    iterations           | 229        |
|    time_elapsed         | 1208       |
|    total_timesteps      | 1875968    |
| train/                  |            |
|    approx_kl            | 0.03698244 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.461     |
|    explained_variance   | 0.219      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00722   |
|    n_updates            | 2280       |
|    policy_gradient_loss | -0.0211    |
|    value_loss           | 0.0139     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 800         |
|    ep_rew_mean          | 4.65        |
| time/                   |             |
|    fps                  | 1553        |
|    iterations           | 230         |
|    time_elapsed         | 1213        |
|    total_timesteps      | 1884160     |
| train/                  |             |
|    approx_kl            | 0.033581108 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.449      |
|    explained_variance   | 0.159       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0508     |
|    n_updates            | 2290        |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0162      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 789         |
|    ep_rew_mean          | 4.62        |
| time/                   |             |
|    fps                  | 1553        |
|    iterations           | 231         |
|    time_elapsed         | 1217        |
|    total_timesteps      | 1892352     |
| train/                  |             |
|    approx_kl            | 0.035662964 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.44       |
|    explained_variance   | 0.16        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0336     |
|    n_updates            | 2300        |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0141      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.030680254 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.462      |
|    explained_variance   | 0.193       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0181     |
|    n_updates            | 2310        |
|    policy_gradient_loss | -0.0266     |
|    value_loss           | 0.014       |
| train_eval/             |             |
|    mean_cum_return      | 1.15        |
|    mean_mdd             | -0.49       |
|    mean_sharpe          | -0.0813     |
|    mean_win_rate        | 0.363       |
|    std_cum_return       | 3.4         |
|    std_mdd              | 0.0601      |
|    std_sharpe           | 0.62        |
|    std_win_rate         | 0.034       |
| val/                    |             |
|    mean_cum_return      | 0.0485      |
|    mean_mdd             | -0.316      |
|    mean_sharpe          | -0.772      |
|    mean_win_rate        | 0.365       |
|    std_cum_return       | 0.452       |
|    std_mdd              | 0.0803      |
|    std_sharpe           | 2.56        |
|    std_win_rate         | 0.0919      |
-----------------------------------------
  [eval] step=1,900,000  val cum_ret=+4.85%  MDD=-31.63%  sharpe=-0.772  win_rate=36.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 775      |
|    ep_rew_mean     | 4.48     |
| time/              |          |
|    fps             | 1548     |
|    iterations      | 232      |
|    time_elapsed    | 1226     |
|    total_timesteps | 1900544  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 772        |
|    ep_rew_mean          | 4.51       |
| time/                   |            |
|    fps                  | 1549       |
|    iterations           | 233        |
|    time_elapsed         | 1231       |
|    total_timesteps      | 1908736    |
| train/                  |            |
|    approx_kl            | 0.03325726 |
|    clip_fraction        | 0.183      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.452     |
|    explained_variance   | 0.217      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0416    |
|    n_updates            | 2320       |
|    policy_gradient_loss | -0.0223    |
|    value_loss           | 0.0139     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 753         |
|    ep_rew_mean          | 4.36        |
| time/                   |             |
|    fps                  | 1550        |
|    iterations           | 234         |
|    time_elapsed         | 1236        |
|    total_timesteps      | 1916928     |
| train/                  |             |
|    approx_kl            | 0.034729823 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.455      |
|    explained_variance   | 0.174       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0146     |
